Table,Row,Abbreviation
bureau,CREDIT_ACTIVE,STATUS
bureau,CREDIT_CURRENCY,CURRENCY
bureau,DAYS_CREDIT,DAYS_CREDIT
bureau,CREDIT_DAY_OVERDUE,DAYS_OVD
bureau,DAYS_CREDIT_ENDDATE,ENDDATE
bureau,DAYS_ENDDATE_FACT,ENDDATE_FACT
bureau,AMT_CREDIT_MAX_OVERDUE,MAX_OVD
bureau,CNT_CREDIT_PROLONG,CNT_PROLONG
bureau,AMT_CREDIT_SUM,CRED_SUM
bureau,AMT_CREDIT_SUM_DEBT,DEBT_SUM
bureau,AMT_CREDIT_SUM_LIMIT,LIMIT
bureau,AMT_CREDIT_SUM_OVERDUE,OVD
bureau,CREDIT_TYPE,TYPE
bureau,DAYS_CREDIT_UPDATE,DAYS_UPDATE
bureau,AMT_ANNUITY,ANNUITY
bureau_balance,MONTHS_BALANCE,MONTHS
bureau_balance,STATUS,STATUS
POS_CASH_balance,MONTHS_BALANCE,MONTHS
POS_CASH_balance,CNT_INSTALMENT,TERM
POS_CASH_balance,CNT_INSTALMENT_FUTURE,REMAIN_INSTS
POS_CASH_balance,NAME_CONTRACT_STATUS,STATUS
POS_CASH_balance,SK_DPD,DPD
POS_CASH_balance,SK_DPD_DEF,DPD_DEF
credit_card_balance,MONTHS_BALANCE,MONTHS
credit_card_balance,AMT_BALANCE,BALANCE
credit_card_balance,AMT_CREDIT_LIMIT_ACTUAL,LIMIT
credit_card_balance,AMT_DRAWINGS_ATM_CURRENT,AMT_ATM_DRAWS
credit_card_balance,AMT_DRAWINGS_CURRENT,AMT_DRAWS
credit_card_balance,AMT_DRAWINGS_OTHER_CURRENT,AMT_OTHER_DRAWS
credit_card_balance,AMT_DRAWINGS_POS_CURRENT,AMT_POS_DRAWS
credit_card_balance,AMT_INST_MIN_REGULARITY,MIN_INST
credit_card_balance,AMT_PAYMENT_CURRENT,PAY
credit_card_balance,AMT_PAYMENT_TOTAL_CURRENT,TOTAL_PAY
credit_card_balance,AMT_RECEIVABLE_PRINCIPAL,RECEIVABLE_PRINC
credit_card_balance,AMT_RECIVABLE,RECEIVABLE
credit_card_balance,AMT_TOTAL_RECEIVABLE,TOT_RECEIVABLE
credit_card_balance,CNT_DRAWINGS_ATM_CURRENT,ATM_DRAWS
credit_card_balance,CNT_DRAWINGS_CURRENT,DRAWS
credit_card_balance,CNT_DRAWINGS_OTHER_CURRENT,OTHER_DRAWS
credit_card_balance,CNT_DRAWINGS_POS_CURRENT,POS_DRAWS
credit_card_balance,CNT_INSTALMENT_MATURE_CUM,PAID_INSTS
credit_card_balance,NAME_CONTRACT_STATUS,STATUS
credit_card_balance,SK_DPD,DPD
credit_card_balance,SK_DPD_DEF,DPD_DEF
previous_application,NAME_CONTRACT_TYPE,TYPE
previous_application,AMT_ANNUITY,ANNUITY
previous_application,AMT_APPLICATION,AMT_APPLICATION
previous_application,AMT_CREDIT,AMT_CREDIT
previous_application,AMT_DOWN_PAYMENT,AMT_DOWN_PAYMENT
previous_application,AMT_GOODS_PRICE,AMT_GOODS_PRICE
previous_application,WEEKDAY_APPR_PROCESS_START,WEEKDAY
previous_application,HOUR_APPR_PROCESS_START,HOUR
previous_application,FLAG_LAST_APPL_PER_CONTRACT,FLAG_LAST_APPL_PER_CONTRACT
previous_application,NFLAG_LAST_APPL_IN_DAY,NFLAG_LAST_APPL_IN_DAY
previous_application,NFLAG_MICRO_CASH,MICRO_CASH
previous_application,RATE_DOWN_PAYMENT,RATE_DWN_PAY
previous_application,RATE_INTEREST_PRIMARY,INT_PRIM
previous_application,RATE_INTEREST_PRIVILEGED,INT_PRIV
previous_application,NAME_CASH_LOAN_PURPOSE,PURPOSE
previous_application,NAME_CONTRACT_STATUS,STATUS
previous_application,DAYS_DECISION,DAYS_DECISION
previous_application,NAME_PAYMENT_TYPE,PAY_TYPE
previous_application,CODE_REJECT_REASON,REJECT_REASON
previous_application,NAME_TYPE_SUITE,SUITE
previous_application,NAME_CLIENT_TYPE,CLIENT_TYPE
previous_application,NAME_GOODS_CATEGORY,GOODS_CAT
previous_application,NAME_PORTFOLIO,PORTF
previous_application,NAME_PRODUCT_TYPE,PROD_TYPE
previous_application,CHANNEL_TYPE,CHN_TYPE
previous_application,SELLERPLACE_AREA,SELLERPLACE_AREA
previous_application,NAME_SELLER_INDUSTRY,SELLER_INDUSTRY
previous_application,CNT_PAYMENT,TERM
previous_application,NAME_YIELD_GROUP,YIELD_GROUP
previous_application,PRODUCT_COMBINATION,PROD_COMB
previous_application,DAYS_FIRST_DRAWING,DAYS_FIRST_DRAWING
previous_application,DAYS_FIRST_DUE,DAYS_FIRST_DUE
previous_application,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE_1
previous_application,DAYS_LAST_DUE,DAYS_LAST_DUE
previous_application,DAYS_TERMINATION,DAYS_TERMI
previous_application,NFLAG_INSURED_ON_APPROVAL,INSURED
installments_payments,NUM_INSTALMENT_VERSION,VERSION
installments_payments,NUM_INSTALMENT_NUMBER,NUMBER
installments_payments,DAYS_INSTALMENT,DAYS_DUE
installments_payments,DAYS_ENTRY_PAYMENT,DAYS_PAID
installments_payments,AMT_INSTALMENT,AMT
installments_payments,AMT_PAYMENT,AMT_PAID
installments_payments,DAY_PMNT_DIFF,DAY_PMNT_DIFF
installments_payments,DAYS_LATE,DAYS_LATE
